Profile_mean,Profile_stdev,Profile_skewness,Profile_kurtosis,DM_mean,DM_stdev,DM_skewness,DM_kurtosis,profile_cv,DM_cv,profile_shape_score,DM_shape_score,class
78.4609375,40.49631587,0.764115158,1.74688093,2.109531773,13.54111327,10.51221427,147.9790216,0.516133462640139,6.419010618518605,2.510996088,158.49123587,0
78.859375,36.95092488,0.743391217,3.189444085,7.641304348,34.51013035,4.629812752,20.79994994,0.46856729984776957,4.516261133188784,3.932835302,25.429762692,0
113.6015625,49.98067437,0.173713316,-0.251979524,1.397157191,12.90939452,11.84999826,170.2052933,0.4399646697644263,9.239751520735277,0.42569284,182.05529156,0
118.2265625,46.51700207,0.367447,-0.055255631,0.741638796,11.68915851,18.34771307,356.7835368,0.39345643392569724,15.76123419083622,0.42270263100000005,375.13124987,0
124.4453125,50.69560025,-0.12585765,-0.227765127,108.9389632,82.95519273,-0.510795244,-1.64452279,0.4073725142731068,0.7614832152957077,0.353622777,2.155318034,0
127.28125,41.79281814,0.306546238,0.367482194,1.205685619,14.68098335,13.26924311,186.3457263,0.32835015221527014,12.176450429694949,0.6740284320000001,199.61496941,0
118.2890625,46.49431288,0.408105148,0.53324457,0.891304348,12.29609169,16.17888662,283.9739929,0.393056733262581,13.795599586147665,0.941349718,300.15287952,0
121.609375,52.28291941,0.028331699,-0.336576647,1.883779264,12.35859298,11.33630832,177.2589225,0.42992506934662666,6.56052790029655,0.364908346,188.59523082,0
110.7890625,40.26817376,0.394328529,0.982893395,2.585284281,21.21269697,8.982286471,83.8231849,0.363467047088091,8.20516680534182,1.3772219239999999,92.805471371,0
144.3203125,44.93796655,-0.155735758,0.058650053,3.122073579,24.10481185,8.049834411,65.08793777,0.311376586290467,7.720767470494176,0.214385811,73.137772181,0
96.1171875,44.5679995,0.413958217,0.499403611,8.392976589,37.74488936,4.507465521,19.22888943,0.46368396949105517,4.497198873671389,0.913361828,23.736354951,0
83.8046875,47.1024579,1.061599176,1.532005013,46.85702341,80.14230942,1.241040718,-0.287114269,0.5620503905339377,1.710358487955894,2.593604189,1.528154987,1
111.296875,44.0203006,0.20394433,0.332967531,2.072742475,16.73581542,10.54027165,127.8890168,0.39552143943375373,8.074233797793044,0.536911861,138.42928845,0
122.28125,47.00730287,0.285440464,0.317212963,3.556856187,21.34462277,6.73447051,49.35960115,0.3844195449881356,6.000978292862788,0.602653427,56.094071660000004,0
115.5,44.61852194,0.478576966,1.189466227,2.111204013,18.68843762,9.836950183,102.0375943,0.3863075459194152,8.852024083366459,1.668043193,111.874544483,0
107.9765625,41.39132322,0.201881777,0.687591954,2.784280936,15.11838303,8.066678035,89.2944149,0.3833361785032175,5.42990378758827,0.8894737309999999,97.361092935,0
